"LURN_SAK","INCIDENT_DATE","STAT","STAT_DESC","STREET","CITY","ZIP","XY_POINT","INCIDENT_ID","REPORTING_DISTRICT","SEQ","UNIT_ID","UNIT_NAME","DELETED"
16495755,"2013-08-28 11:30:00","011","CRIMINAL HOMICIDE: Murder","FRAZIER MOUNTAIN RD & MOTOR CROSS AVE","GORMAN",,,"013-11867-0684","0684","11867","CA0190006","SANTA CLARITA VALLEY","N"
16496158,"2013-08-28 17:49:00","013","DEPUTY INVOLVED SHOOTING/SUSPECT DEAD","2000 E PIRU ST","COMPTON","90222","6490580.01281394,1789256.97622477","013-13323-2137","2137","13323","CA01900V3","CENTURY","N"
16496690,"2013-08-29 09:37:00","011","CRIMINAL HOMICIDE: Murder","15000 LAS TUNAS DR","HACIENDA HEIGHTS","91745","6564496.82921889,1824098.44197479","013-09700-1475","1475","09700","CA0190014","INDUSTRY","N"
16497519,"2013-08-30 04:01:00","011","CRIMINAL HOMICIDE: Murder","SERAPIS AVE & TERRADELL ST","PICO RIVERA","90660","6529978.99968061,1808653.37220639","013-06435-1519","1519","06435","CA0190015","PICO RIVERA","N"
16498204,"2013-08-30 16:05:00","011","CRIMINAL HOMICIDE: Murder","11700 S COMPTON AVE","LOS ANGELES","90059","6487014.9235912,1796162.56153097","013-13432-2131","2131","13432","CA01900V3","CENTURY","N"
16498932,"2013-08-31 14:00:00","011","CRIMINAL HOMICIDE: Murder","21400 NORWALK BLVD","HAWAIIAN GARDENS","90716","6539857.31035116,1762385.9642023","013-16976-1352","1352","16976","CA0190013","LAKEWOOD","N"
16499396,"2013-09-01 02:57:00","011","CRIMINAL HOMICIDE: Murder","4600 E ALONDRA BLVD","COMPTON","90221","6503491.89623342,1782013.0509489","013-11373-2847","2847","11373","CA0190042","COMPTON","N"
16499943,"2013-09-01 22:03:00","011","CRIMINAL HOMICIDE: Murder","6100 PIONEER BLVD","WHITTIER","90606","6540150.6823732,1819817.37015636","013-06504-1575","1575","06504","CA0190015","PICO RIVERA","N"
16501945,"2013-09-04 00:38:00","011","CRIMINAL HOMICIDE: Murder","STRATFORD DR & SUNBURST DR","PALMDALE",,"6549243.00021054,2023172.49995816","013-12636-2607","2607","12636","CA01900W9","PALMDALE","N"
16503139,"2013-09-04 21:07:00","011","CRIMINAL HOMICIDE: Murder","12400 ANZAC AVE","COMPTON","90222","6489454.47063177,1793095.56758571","013-13697-2137","2137","13697","CA01900V3","CENTURY","N"
16508784,"2013-09-10 02:37:32","013","DEPUTY INVOLVED SHOOTING/SUSPECT DEAD","4000 ALMANZA LN","LOS ANGELES","90022","6507627.932568,1841609.813896","013-11148-0272","0272","11148","CA0190002","EAST LOS ANGELES","N"
